Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Bronze Medal;3;2024-07-08;Alysha NEWMAN;W;Athletics;ATH;Women's Pole Vault;https://olympics.com/en/paris-2024/results/athletics/women-s-pole-vault/fnl-000100--;CAN;Canada
Gold Medal;1;2024-04-08;Carlos Edriel YULO;M;Artistic Gymnastics;GAR;Men's Vault;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-vault/fnl-000001--;PHI;Philippines
Bronze Medal;3;2024-02-08;Zoe CLAESSENS;W;Cycling BMX Racing;BMX;Women;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--;SUI;Switzerland
Bronze Medal;3;2024-08-08;Alizadeh KIMIA;W;Taekwondo;TKW;Women -57kg;https://olympics.com/en/paris-2024/results/taekwondo/women--57kg/repf000200--;BUL;Bulgaria
Silver Medal;2;2024-07-28;China;W;Archery;ARC;Women's Team;https://olympics.com/en/paris-2024/results/archery/women-s-team/fnl-000100--;CHN;China
Gold Medal;1;2024-02-08;Korea;X;Archery;ARC;Mixed Team;https://olympics.com/en/paris-2024/results/archery/mixed-team/fnl-000100--;KOR;Korea
Bronze Medal;3;2024-10-08;Great Britain;W;Athletics;ATH;Women's 4 x 400m Relay;https://olympics.com/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--;GBR;Great Britain
Gold Medal;1;2024-10-08;United States;W;Athletics;ATH;Women's 4 x 400m Relay;https://olympics.com/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--;USA;United States
Gold Medal;1;2024-04-08;LEE/WANG;M;Badminton;BDM;Men's Doubles;https://olympics.com/en/paris-2024/results/badminton/men-s-doubles/fnl-000100--;TPE;Chinese Taipei
Silver Medal;2;2024-03-08;LIU/TAN;W;Badminton;BDM;Women's Doubles;https://olympics.com/en/paris-2024/results/badminton/women-s-doubles/fnl-000100--;CHN;China
Silver Medal;2;2024-05-08;Spain;W;3x3 Basketball;BK3;Women;https://olympics.com/en/paris-2024/results/3x3-basketball/women/fnl-000100--;ESP;Spain
Bronze Medal;3;2024-11-08;Australia;W;Basketball;BKB;Women;https://olympics.com/en/paris-2024/results/basketball/women/fnl-000200--;AUS;Australia
Silver Medal;2;2024-11-08;France;W;Basketball;BKB;Women;https://olympics.com/en/paris-2024/results/basketball/women/fnl-000100--;FRA;France
Bronze Medal;3;2024-09-08;van der WE/GREEN;M;Canoe Sprint;CSP;Men's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------;AUS;Australia
Silver Medal;2;2024-09-08;NADAS/TOTKA;M;Canoe Sprint;CSP;Men's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-double-500m/fnl---------;HUN;Hungary
Silver Medal;2;2024-08-08;Germany;W;Canoe Sprint;CSP;Women's Kayak Four 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-four-500m/fnl---------;GER;Germany
Gold Medal;1;2024-06-08;Netherlands;M;Cycling Track;CTR;Men's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------;NED;Netherlands
Bronze Medal;3;2024-07-08;Great Britain;W;Cycling Track;CTR;Women's Team Pursuit;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------;GBR;Great Britain
Silver Medal;2;2024-07-08;New Zealand;W;Cycling Track;CTR;Women's Team Pursuit;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-pursuit/fnl---------;NZL;New Zealand
Gold Medal;1;2024-05-08;Great Britain;W;Cycling Track;CTR;Women's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------;GBR;Great Britain
Bronze Medal;3;2024-07-29;Canada;M;Diving;DIV;Men's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--;CAN;Canada
Silver Medal;2;2024-07-29;Great Britain;M;Diving;DIV;Men's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--;GBR;Great Britain
Gold Medal;1;2024-03-08;Germany;O;Equestrian;EQD;Dressage Team;https://olympics.com/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;GER;Germany
Gold Medal;1;2024-02-08;Great Britain;O;Equestrian;EQD;Jumping Team;https://olympics.com/en/paris-2024/results/equestrian/jumping-team/fnl-000100--;GBR;Great Britain
Gold Medal;1;2024-09-08;Spain;M;Football;FBL;Men;https://olympics.com/en/paris-2024/results/football/men/fnl-000100--;ESP;Spain
Silver Medal;2;2024-10-08;Brazil;W;Football;FBL;Women;https://olympics.com/en/paris-2024/results/football/women/fnl-000100--;BRA;Brazil
Silver Medal;2;2024-02-08;Japan;M;Fencing;FEN;Men's Épée Team;https://olympics.com/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--;JPN;Japan
Silver Medal;2;2024-07-30;France;W;Fencing;FEN;Women's Épée Team;https://olympics.com/en/paris-2024/results/fencing/women-s-epee-team/fnl-000100--;FRA;France
Silver Medal;2;2024-07-30;Italy;W;Artistic Gymnastics;GAR;Women's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-team/fnl-000001--;ITA;Italy
Bronze Medal;3;2024-10-08;Italy;W;Rhythmic Gymnastics;GRY;Group All-Around;;ITA;Italy
Bronze Medal;3;2024-08-08;India;M;Hockey;HOC;Men;https://olympics.com/en/paris-2024/results/hockey/men/fnl-000200--;IND;India
Bronze Medal;3;2024-03-08;Brazil;X;Judo;JUD;Mixed Team;https://olympics.com/en/paris-2024/results/judo/mixed-team/repf00010000;BRA;Brazil
Gold Medal;1;2024-03-08;France;X;Judo;JUD;Mixed Team;https://olympics.com/en/paris-2024/results/judo/mixed-team/fnl-00010000;FRA;France
Gold Medal;1;2024-03-08;Great Britain;M;Rowing;ROW;Men's Eight;https://olympics.com/en/paris-2024/results/rowing/men-s-eight/fnl---------;GBR;Great Britain
Silver Medal;2;2024-02-08;Great Britain;M;Rowing;ROW;Men's Pair;https://olympics.com/en/paris-2024/results/rowing/men-s-pair/fnl---------;GBR;Great Britain
Bronze Medal;3;2024-01-08;Great Britain;M;Rowing;ROW;Men's Four;https://olympics.com/en/paris-2024/results/rowing/men-s-four/fnl---------;GBR;Great Britain
Gold Medal;1;2024-01-08;United States;M;Rowing;ROW;Men's Four;https://olympics.com/en/paris-2024/results/rowing/men-s-four/fnl---------;USA;United States
Silver Medal;2;2024-07-30;Canada;W;Rugby Sevens;RU7;Women;https://olympics.com/en/paris-2024/results/rugby-sevens/women/fnl-000100--;CAN;Canada
Bronze Medal;3;2024-02-08;STEYAERT/PICON;W;Sailing;SAL;Women's Skiff;https://olympics.com/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;FRA;France
Gold Medal;1;2024-08-08;VADLAU/MAEHR;X;Sailing;SAL;Mixed Dinghy;https://olympics.com/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--;AUT;Austria
Bronze Medal;3;2024-07-30;India 1;X;Shooting;SHO;10m Air Pistol Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000200--;IND;India
Gold Medal;1;2024-05-08;Italy 1;X;Shooting;SHO;Skeet Mixed Team;https://olympics.com/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--;ITA;Italy
Silver Medal;2;2024-05-08;United States 1;X;Shooting;SHO;Skeet Mixed Team;https://olympics.com/en/paris-2024/results/shooting/skeet-mixed-team/fnl-000100--;USA;United States
Gold Medal;1;2024-10-08;China;W;Artistic Swimming;SWA;Duet;https://olympics.com/en/paris-2024/results/artistic-swimming/duet/fnl-000100--;CHN;China
Bronze Medal;3;2024-07-08;Spain;O;Artistic Swimming;SWA;Team;https://olympics.com/en/paris-2024/results/artistic-swimming/team/fnl-000100--;ESP;Spain
Gold Medal;1;2024-07-27;United States;M;Swimming;SWM;Men's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/men-s-4-x-100m-freestyle-relay/fnl-000100--;USA;United States
Bronze Medal;3;2024-07-27;China;W;Swimming;SWM;Women's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--;CHN;China
Silver Medal;2;2024-07-27;United States;W;Swimming;SWM;Women's 4 x 100m Freestyle Relay;https://olympics.com/en/paris-2024/results/swimming/women-s-4-x-100m-freestyle-relay/fnl-000100--;USA;United States
Bronze Medal;3;2024-03-08;FRITZ/PAUL;M;Tennis;TEN;Men's Doubles;https://olympics.com/en/paris-2024/results/tennis/men-s-doubles/fnl-000200--;USA;United States
Silver Medal;2;2024-03-08;KRAJICEK/RAM;M;Tennis;TEN;Men's Doubles;https://olympics.com/en/paris-2024/results/tennis/men-s-doubles/fnl-000100--;USA;United States
Silver Medal;2;2024-04-08;ANDREEVA/SHNAIDER;W;Tennis;TEN;Women's Doubles;https://olympics.com/en/paris-2024/results/tennis/women-s-doubles/fnl-000100--;AIN;AIN
Bronze Medal;3;2024-04-08;BUCSA/SORRIBES TORMO;W;Tennis;TEN;Women's Doubles;https://olympics.com/en/paris-2024/results/tennis/women-s-doubles/fnl-000200--;ESP;Spain
Bronze Medal;3;2024-02-08;DABROWSKI/AUGER-ALIAS;X;Tennis;TEN;Mixed Doubles;https://olympics.com/en/paris-2024/results/tennis/mixed-doubles/fnl-000200--;CAN;Canada
Gold Medal;1;2024-02-08;SINIAKOVA/MACHAC;X;Tennis;TEN;Mixed Doubles;https://olympics.com/en/paris-2024/results/tennis/mixed-doubles/fnl-000100--;CZE;Czechia
Bronze Medal;3;2024-05-08;Great Britain;X;Triathlon;TRI;Mixed Relay;https://olympics.com/en/paris-2024/results/triathlon/mixed-relay/fnl-000100--;GBR;Great Britain
Gold Medal;1;2024-07-30;WANG/SUN;X;Table Tennis;TTE;Mixed Doubles;https://olympics.com/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000100--;CHN;China
Bronze Medal;3;2024-07-30;LIM/SHIN;X;Table Tennis;TTE;Mixed Doubles;https://olympics.com/en/paris-2024/results/table-tennis/mixed-doubles/fnl-000200--;KOR;Korea
Silver Medal;2;2024-09-08;MELISSA/BRANDIE;W;Beach Volleyball;VBV;Women;https://olympics.com/en/paris-2024/results/beach-volleyball/women/fnl-000100--;CAN;Canada
Bronze Medal;3;2024-09-08;HUBERLI/BRUNNER;W;Beach Volleyball;VBV;Women;https://olympics.com/en/paris-2024/results/beach-volleyball/women/fnl-000200--;SUI;Switzerland
Bronze Medal;3;2024-10-08;Brazil;W;Volleyball;VVO;Women;https://olympics.com/en/paris-2024/results/volleyball/women/fnl-000200--;BRA;Brazil
Silver Medal;2;2024-07-08;Artur ALEKSANYAN;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--;ARM;Armenia
Silver Medal;2;2024-09-08;Mehran BARKHORDARI;M;Taekwondo;TKW;Men -80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--80kg/fnl-000100--;IRI;IR Iran
Bronze Medal;3;2024-07-08;Mobina NEMATZADEH;W;Taekwondo;TKW;Women -49kg;https://olympics.com/en/paris-2024/results/taekwondo/women--49kg/repf000100--;IRI;IR Iran
Bronze Medal;3;2024-11-08;Sebastian C RIVERA;M;Wrestling;WRE;Men's Freestyle 65kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000100--;PUR;Puerto Rico
Silver Medal;2;2024-06-08;Julien ALFRED;W;Athletics;ATH;Women's 200m;https://olympics.com/en/paris-2024/results/athletics/women-s-200m/fnl-000100--;LCA;Saint Lucia
Bronze Medal;3;2024-11-08;Amirali AZARPIRA;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000200--;IRI;IR Iran
Bronze Medal;3;2024-07-29;Mona Mc SHARRY;W;Swimming;SWM;Women's 100m Breaststroke;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--;IRL;Ireland
Bronze Medal;3;2024-07-31;Leo BERGERE;M;Triathlon;TRI;Men's Individual;https://olympics.com/en/paris-2024/results/triathlon/men-s-individual/fnl-000100--;FRA;France
Bronze Medal;3;2024-11-08;Emily CAMPBELL;W;Weightlifting;WLF;Women's +81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--;GBR;Great Britain
Gold Medal;1;2024-07-08;Mohammadhadi SARAVI;M;Wrestling;WRE;Men's Greco-Roman 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-97kg/fnl-000100--;IRI;IR Iran
Bronze Medal;3;2024-08-08;Zhan BELENIUK;M;Wrestling;WRE;Men's Greco-Roman 87kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-87kg/repf000100--;UKR;Ukraine
Silver Medal;2;2024-08-08;Parviz NASIBOV;M;Wrestling;WRE;Men's Greco-Roman 67kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-67kg/fnl-000100--;UKR;Ukraine
Silver Medal;2;2024-08-08;Neeraj CHOPRA;M;Athletics;ATH;Men's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-javelin-throw/fnl-000100--;IND;India
Bronze Medal;3;2024-09-08;Andy DIAZ HERNANDEZ;M;Athletics;ATH;Men's Triple Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-triple-jump/fnl-000100--;ITA;Italy
Silver Medal;2;2024-11-08;Givi MATCHARASHVILI;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--;GEO;Georgia
Bronze Medal;3;2024-04-08;Arlen LOPEZ CARDONA;M;Boxing;BOX;Men's 80kg;https://olympics.com/en/paris-2024/results/boxing/men-s-80kg/sfnl000200--;CUB;Cuba
Silver Medal;2;2024-08-08;Lauriane NOLOT;W;Sailing;SAL;Women's Kite;https://olympics.com/en/paris-2024/results/sailing/women-s-kite/fnl-000200--;FRA;France
Bronze Medal;3;2024-10-08;Jessica PILZ;W;Sport Climbing;CLB;Women's Boulder & Lead;https://olympics.com/en/paris-2024/results/sport-climbing/women-s-boulder-and-lead/fnl-000200--;AUT;Austria
Bronze Medal;3;2024-03-08;Lorenzo MUSETTI;M;Tennis;TEN;Men's Singles;https://olympics.com/en/paris-2024/results/tennis/men-s-singles/fnl-000200--;ITA;Italy
Bronze Medal;3;2024-10-08;Mutaz Essa BARSHIM;M;Athletics;ATH;Men's High Jump;https://olympics.com/en/paris-2024/results/athletics/men-s-high-jump/fnl-000100--;QAT;Qatar
Bronze Medal;3;2024-02-08;Temur RAKHIMOV;M;Judo;JUD;Men +100 kg;https://olympics.com/en/paris-2024/results/judo/men--plus-100-kg/repf000100--;TJK;Tajikistan
Bronze Medal;3;2024-10-08;Balint KOPASZ;M;Canoe Sprint;CSP;Men's Kayak Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------;HUN;Hungary
Silver Medal;2;2024-10-08;Adam VARGA;M;Canoe Sprint;CSP;Men's Kayak Single 1000m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-single-1000m/fnl---------;HUN;Hungary
Gold Medal;1;2024-06-08;Mijain LOPEZ NUNEZ;M;Wrestling;WRE;Men's Greco-Roman 130kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-greco-roman-130kg/fnl-000100--;CUB;Cuba
Bronze Medal;3;2024-04-08;Mykhaylo KOKHAN;M;Athletics;ATH;Men's Hammer Throw;https://olympics.com/en/paris-2024/results/athletics/men-s-hammer-throw/fnl-000100--;UKR;Ukraine
Silver Medal;2;2024-09-08;Anastasia NICHITA;W;Wrestling;WRE;Women's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-57kg/fnl-000100--;MDA;Republic of Moldova
Gold Medal;1;2024-07-31;Sarah SJOESTROEM;W;Swimming;SWM;Women's 100m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-100m-freestyle/fnl-000100--;SWE;Sweden
Silver Medal;2;2024-11-08;Daria PIKULIK;W;Cycling Track;CTR;Women's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--;POL;Poland
Silver Medal;2;2024-07-08;Sofiane OUMIHA;M;Boxing;BOX;Men's 63.5kg;https://olympics.com/en/paris-2024/results/boxing/men-s-63-5kg/fnl-000100--;FRA;France
Silver Medal;2;2024-05-08;Angele HUG;W;Canoe Slalom;CSL;Women's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/women-s-kayak-cross/fnl---------;FRA;France
Gold Medal;1;2024-10-08;LIN Yu Ting;W;Boxing;BOX;Women's 57kg;https://olympics.com/en/paris-2024/results/boxing/women-s-57kg/fnl-000100--;TPE;Chinese Taipei
Bronze Medal;3;2024-06-08;CHEN Nien Chin;W;Boxing;BOX;Women's 66kg;https://olympics.com/en/paris-2024/results/boxing/women-s-66kg/sfnl000200--;TPE;Chinese Taipei
Bronze Medal;3;2024-07-27;Shirine BOUKLI;W;Judo;JUD;Women -48 kg;https://olympics.com/en/paris-2024/results/judo/women--48-kg/repf000100--;FRA;France
Bronze Medal;3;2024-07-31;Maxime-Gael NGAYAP HAMBOU;M;Judo;JUD;Men -90 kg;https://olympics.com/en/paris-2024/results/judo/men--90-kg/repf000100--;FRA;France
Gold Medal;1;2024-02-08;Teddy RINER;M;Judo;JUD;Men +100 kg;https://olympics.com/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--;FRA;France
Bronze Medal;3;2024-04-08;IM Aeji;W;Boxing;BOX;Women's 54kg;https://olympics.com/en/paris-2024/results/boxing/women-s-54kg/sfnl000200--;KOR;Korea
Bronze Medal;3;2024-10-08;Emma Aastrand JORGENSEN;W;Canoe Sprint;CSP;Women's Kayak Single 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-single-500m/fnl---------;DEN;Denmark
Silver Medal;2;2024-01-08;Inbar LANIR;W;Judo;JUD;Women -78 kg;https://olympics.com/en/paris-2024/results/judo/women--78-kg/fnl-000100--;ISR;Israel
Silver Medal;2;2024-05-08;CHO Yeongjae;M;Shooting;SHO;25m Rapid Fire Pistol Men;https://olympics.com/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--;KOR;Korea
Silver Medal;2;2024-07-28;KIM Yeji;W;Shooting;SHO;10m Air Pistol Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--;KOR;Korea
Bronze Medal;3;2024-08-08;Cindy Winner DJANKEU NGAMBA;W;Boxing;BOX;Women's 75kg;https://olympics.com/en/paris-2024/results/boxing/women-s-75kg/sfnl000200--;EOR;EOR
Silver Medal;2;2024-02-08;Sylvain ANDRE;M;Cycling BMX Racing;BMX;Men;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;FRA;France
Silver Medal;2;2024-07-29;Victor KORETZKY;M;Cycling Mountain Bike;MTB;Men's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--;FRA;France
Bronze Medal;3;2024-02-08;Romain MAHIEU;M;Cycling BMX Racing;BMX;Men;https://olympics.com/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--;FRA;France
Silver Medal;2;2024-05-08;Joseph CLARKE;M;Canoe Slalom;CSL;Men's Kayak Cross;https://olympics.com/en/paris-2024/results/canoe-slalom/men-s-kayak-cross/fnl---------;GBR;Great Britain
Bronze Medal;3;2024-07-29;FUNAKUBO Haruka;W;Judo;JUD;Women -57 kg;https://olympics.com/en/paris-2024/results/judo/women--57-kg/repf000100--;JPN;Japan
Gold Medal;1;2024-07-30;NAGASE Takanori;M;Judo;JUD;Men -81 kg;https://olympics.com/en/paris-2024/results/judo/men--81-kg/fnl-000100--;JPN;Japan
Bronze Medal;3;2024-10-08;Rafael ALBA;M;Taekwondo;TKW;Men +80kg;https://olympics.com/en/paris-2024/results/taekwondo/men--plus-80kg/repf000100--;CUB;Cuba
Gold Medal;1;2024-03-08;Marta MAGGETTI;W;Sailing;SAL;Women's Windsurfing;https://olympics.com/en/paris-2024/results/sailing/women-s-windsurfing/fnl-000100--;ITA;Italy
Silver Medal;2;2024-11-08;Tigst ASSEFA;W;Athletics;ATH;Women's Marathon;https://olympics.com/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--;ETH;Ethiopia
Gold Medal;1;2024-06-08;QUAN Hongchan;W;Diving;DIV;Women's 10m Platform;https://olympics.com/en/paris-2024/results/diving/women-s-10m-platform/fnl-000100--;CHN;China
Silver Medal;2;2024-07-28;AKAMA Liz;W;Skateboarding;SKB;Women's Street;https://olympics.com/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--;JPN;Japan
Gold Medal;1;2024-03-08;LIM Sihyeon;W;Archery;ARC;Women's Individual;https://olympics.com/en/paris-2024/results/archery/women-s-individual/fnl-000100--;KOR;Korea
Gold Medal;1;2024-04-08;FAN Zhendong;M;Table Tennis;TTE;Men's Singles;https://olympics.com/en/paris-2024/results/table-tennis/men-s-singles/fnl-000100--;CHN;China
Gold Medal;1;2024-07-08;Panipak WONGPATTANAKIT;W;Taekwondo;TKW;Women -49kg;https://olympics.com/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--;THA;Thailand
Bronze Medal;3;2024-07-27;Wout van AERT;M;Cycling Road;CRD;Men's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;BEL;Belgium
Bronze Medal;3;2024-01-08;Alvaro MARTIN;M;Athletics;ATH;Men's 20km Race Walk;https://olympics.com/en/paris-2024/results/athletics/men-s-20km-race-walk/fnl-000100--;ESP;Spain
Bronze Medal;3;2024-03-08;Jake JARMAN;M;Artistic Gymnastics;GAR;Men's Floor Exercise;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--;GBR;Great Britain
Silver Medal;2;2024-07-31;Kristof MILAK;M;Swimming;SWM;Men's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--;HUN;Hungary
Bronze Medal;3;2024-07-31;Isabel GOSE;W;Swimming;SWM;Women's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-1500m-freestyle/fnl-000100--;GER;Germany
Bronze Medal;3;2024-04-08;Yunior ALCANTARA REYES;M;Boxing;BOX;Men's 51kg;https://olympics.com/en/paris-2024/results/boxing/men-s-51kg/sfnl000100--;DOM;Dominican Republic
Gold Medal;1;2024-09-08;Kristof RASOVSZKY;M;Marathon Swimming;OWS;Men's 10km;https://olympics.com/en/paris-2024/results/marathon-swimming/men-s-10km/fnl-000100--;HUN;Hungary
Gold Medal;1;2024-07-28;Leon MARCHAND;M;Swimming;SWM;Men's 400m Individual Medley;https://olympics.com/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--;FRA;France
Silver Medal;2;2024-07-08;GUO Qing;W;Taekwondo;TKW;Women -49kg;https://olympics.com/en/paris-2024/results/taekwondo/women--49kg/fnl-000100--;CHN;China
Silver Medal;2;2024-05-08;Faith KIPYEGON;W;Athletics;ATH;Women's 5000m;https://olympics.com/en/paris-2024/results/athletics/women-s-5000m/fnl-000100--;KEN;Kenya
Bronze Medal;3;2024-09-08;Jack CARLIN;M;Cycling Track;CTR;Men's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------;GBR;Great Britain
Gold Medal;1;2024-07-29;Thomas PIDCOCK;M;Cycling Mountain Bike;MTB;Men's Cross-country;https://olympics.com/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--;GBR;Great Britain
Gold Medal;1;2024-05-08;LI Yuehong;M;Shooting;SHO;25m Rapid Fire Pistol Men;https://olympics.com/en/paris-2024/results/shooting/25m-rapid-fire-pistol-men/fnl-000100--;CHN;China
Gold Medal;1;2024-01-08;LIU Yukun;M;Shooting;SHO;50m Rifle 3 Positions Men;https://olympics.com/en/paris-2024/results/shooting/50m-rifle-3-positions-men/fnl-000100--;CHN;China
Silver Medal;2;2024-07-31;Silvana Maria STANCO;W;Shooting;SHO;Trap Women;https://olympics.com/en/paris-2024/results/shooting/trap-women/fnl-000100--;ITA;Italy
Silver Medal;2;2024-09-08;Salwa Eid NASER;W;Athletics;ATH;Women's 400m;https://olympics.com/en/paris-2024/results/athletics/women-s-400m/fnl-000100--;BRN;Bahrain
Bronze Medal;3;2024-08-08;Fabio van den BOSSCHE;M;Cycling Track;CTR;Men's Omnium;https://olympics.com/en/paris-2024/results/cycling-track/men-s-omnium/pts-000100--;BEL;Belgium
Silver Medal;2;2024-07-27;Auriane MALLO-BRETON;W;Fencing;FEN;Women's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--;FRA;France
Silver Medal;2;2024-07-28;Yannick BOREL;M;Fencing;FEN;Men's Épée Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--;FRA;France
Gold Medal;1;2024-10-08;LIU Huanhua;M;Weightlifting;WLF;Men's 102kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--;CHN;China
Gold Medal;1;2024-07-08;LI Fabin;M;Weightlifting;WLF;Men's 61kg;https://olympics.com/en/paris-2024/results/weightlifting/men-s-61kg/fnl-000100--;CHN;China
Gold Medal;1;2024-11-08;LI Wenwen;W;Weightlifting;WLF;Women's +81kg;https://olympics.com/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--;CHN;China
Bronze Medal;3;2024-02-08;YAN Langyu;M;Trampoline Gymnastics;GTR;Men;https://olympics.com/en/paris-2024/results/trampoline-gymnastics/men/fnl-000001--;CHN;China
Bronze Medal;3;2024-05-08;ZHANG Boheng;M;Artistic Gymnastics;GAR;Men's Horizontal Bar;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-horizontal-bar/fnl-000001--;CHN;China
Bronze Medal;3;2024-05-08;OKA Shinnosuke;M;Artistic Gymnastics;GAR;Men's Parallel Bars;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-parallel-bars/fnl-000001--;JPN;Japan
Bronze Medal;3;2024-09-08;HONG Kexin;W;Wrestling;WRE;Women's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000200--;CHN;China
Silver Medal;2;2024-07-27;Filippo GANNA;M;Cycling Road;CRD;Men's Individual Time Trial;https://olympics.com/en/paris-2024/results/cycling-road/men-s-individual-time-trial/fnl-000100--;ITA;Italy
Silver Medal;2;2024-07-29;Filippo MACCHI;M;Fencing;FEN;Men's Foil Individual;https://olympics.com/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--;ITA;Italy
Bronze Medal;3;2024-07-29;HAUGHEY Siobhan Bernadette;W;Swimming;SWM;Women's 200m Freestyle;https://olympics.com/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--;HKG;Hong Kong, China
Gold Medal;1;2024-01-08;Alice BELLANDI;W;Judo;JUD;Women -78 kg;https://olympics.com/en/paris-2024/results/judo/women--78-kg/fnl-000100--;ITA;Italy
Silver Medal;2;2024-04-08;Gregorio PALTRINIERI;M;Swimming;SWM;Men's 1500m Freestyle;https://olympics.com/en/paris-2024/results/swimming/men-s-1500m-freestyle/fnl-000100--;ITA;Italy
