Medal_type;Medal_code;Medal_date;Name;Gender;Discipline;Code_Discipline;Event;url_event;Country_code;Country
Gold Medal;1;2024-07-28;Lee KIEFER;W;Fencing;FEN;Women's Foil Individual;https://olympics.com/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--;USA;United States
Silver Medal;2;2024-01-08;Rebeca ANDRADE;W;Artistic Gymnastics;GAR;Women's All-Around;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-all-around/fnl-000001--;BRA;Brazil
Bronze Medal;3;2024-07-28;Larissa PIMENTA;W;Judo;JUD;Women -52 kg;https://olympics.com/en/paris-2024/results/judo/women--52-kg/repf000100--;BRA;Brazil
Silver Medal;2;2024-01-08;Apostolos CHRISTOU;M;Swimming;SWM;Men's 200m Backstroke;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-backstroke/fnl-000100--;GRE;Greece
Gold Medal;1;2024-04-08;Kristen FAULKNER;W;Cycling Road;CRD;Women's Road Race;https://olympics.com/en/paris-2024/results/cycling-road/women-s-road-race/fnl-000100--;USA;United States
Gold Medal;1;2024-07-08;Sarah Ann HILDEBRANDT;W;Wrestling;WRE;Women's Freestyle 50kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-50kg/fnl-000100--;USA;United States
Bronze Medal;3;2024-09-08;Helen Louise MAROULIS;W;Wrestling;WRE;Women's Freestyle 57kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-57kg/repf000100--;USA;United States
Bronze Medal;3;2024-06-08;Omari JONES;M;Boxing;BOX;Men's 71kg;https://olympics.com/en/paris-2024/results/boxing/men-s-71kg/sfnl000100--;USA;United States
Bronze Medal;3;2024-04-08;Sunisa LEE;W;Artistic Gymnastics;GAR;Women's Uneven Bars;https://olympics.com/en/paris-2024/results/artistic-gymnastics/women-s-uneven-bars/fnl-000001--;USA;United States
Gold Medal;1;2024-10-08;Masai RUSSELL;W;Athletics;ATH;Women's 100m Hurdles;https://olympics.com/en/paris-2024/results/athletics/women-s-100m-hurdles/fnl-000100--;USA;United States
Bronze Medal;3;2024-04-08;Fred KERLEY;M;Athletics;ATH;Men's 100m;https://olympics.com/en/paris-2024/results/athletics/men-s-100m/fnl-000100--;USA;United States
Bronze Medal;3;2024-02-08;Grant FISHER;M;Athletics;ATH;Men's 10,000m;https://olympics.com/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--;USA;United States
Bronze Medal;3;2024-04-08;Eleftherios PETROUNIAS;M;Artistic Gymnastics;GAR;Men's Rings;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-rings/fnl-000001--;GRE;Greece
Bronze Medal;3;2024-07-31;Theodoros TSELIDIS;M;Judo;JUD;Men -90 kg;https://olympics.com/en/paris-2024/results/judo/men--90-kg/repf000200--;GRE;Greece
Bronze Medal;3;2024-10-08;Djamel SEDJATI;M;Athletics;ATH;Men's 800m;https://olympics.com/en/paris-2024/results/athletics/men-s-800m/fnl-000100--;ALG;Algeria
Bronze Medal;3;2024-03-08;Jasmine MOORE;W;Athletics;ATH;Women's Triple Jump;https://olympics.com/en/paris-2024/results/athletics/women-s-triple-jump/fnl-000100--;USA;United States
Gold Medal;1;2024-03-08;Karolien FLORIJN;W;Rowing;ROW;Women's Single Sculls;https://olympics.com/en/paris-2024/results/rowing/women-s-single-sculls/fnl---------;NED;Netherlands
Bronze Medal;3;2024-08-08;Skylar PARK;W;Taekwondo;TKW;Women -57kg;https://olympics.com/en/paris-2024/results/taekwondo/women--57kg/repf000100--;CAN;Canada
Bronze Medal;3;2024-07-31;Ilya KHARUN;M;Swimming;SWM;Men's 200m Butterfly;https://olympics.com/en/paris-2024/results/swimming/men-s-200m-butterfly/fnl-000100--;CAN;Canada
Bronze Medal;3;2024-07-31;Penny SMITH;W;Shooting;SHO;Trap Women;https://olympics.com/en/paris-2024/results/shooting/trap-women/fnl-000100--;AUS;Australia
Gold Medal;1;2024-09-08;Harrie LAVREYSEN;M;Cycling Track;CTR;Men's Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-sprint/fnl---------;NED;Netherlands
Gold Medal;1;2024-02-08;Joshua CHEPTEGEI;M;Athletics;ATH;Men's 10,000m;https://olympics.com/en/paris-2024/results/athletics/men-s-10-000m/fnl-000100--;UGA;Uganda
Bronze Medal;3;2024-07-29;Laura COLLETT;O;Equestrian;EQD;Eventing Individual;https://olympics.com/en/paris-2024/results/equestrian/eventing-individual/jump000100--;GBR;Great Britain
Gold Medal;1;2024-07-29;Hidayat HEYDAROV;M;Judo;JUD;Men -73 kg;https://olympics.com/en/paris-2024/results/judo/men--73-kg/fnl-000100--;AZE;Azerbaijan
Silver Medal;2;2024-09-08;Loren Berto ALFONSO DOMINGUEZ;M;Boxing;BOX;Men's 92kg;https://olympics.com/en/paris-2024/results/boxing/men-s-92kg/fnl-000100--;AZE;Azerbaijan
Gold Medal;1;2024-06-08;Camryn ROGERS;W;Athletics;ATH;Women's Hammer Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-hammer-throw/fnl-000100--;CAN;Canada
Gold Medal;1;2024-03-08;Carlos Edriel YULO;M;Artistic Gymnastics;GAR;Men's Floor Exercise;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-floor-exercise/fnl-000001--;PHI;Philippines
Bronze Medal;3;2024-07-29;Audrey GOGNIAT;W;Shooting;SHO;10m Air Rifle Women;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--;SUI;Switzerland
Bronze Medal;3;2024-07-08;Nesthy PETECIO;W;Boxing;BOX;Women's 57kg;https://olympics.com/en/paris-2024/results/boxing/women-s-57kg/sfnl000200--;PHI;Philippines
Bronze Medal;3;2024-04-08;PANG Cholmi;W;Boxing;BOX;Women's 54kg;https://olympics.com/en/paris-2024/results/boxing/women-s-54kg/sfnl000100--;PRK;DPR Korea
Bronze Medal;3;2024-08-08;CHOE Hyo Gyong;W;Wrestling;WRE;Women's Freestyle 53kg;https://olympics.com/en/paris-2024/results/wrestling/women-s-freestyle-53kg/repf000100--;PRK;DPR Korea
Silver Medal;2;2024-10-08;Jo-Ane van DYK;W;Athletics;ATH;Women's Javelin Throw;https://olympics.com/en/paris-2024/results/athletics/women-s-javelin-throw/fnl-000100--;RSA;South Africa
Bronze Medal;3;2024-11-08;Magomedkhan MAGOMEDOV;M;Wrestling;WRE;Men's Freestyle 97kg;https://olympics.com/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000100--;AZE;Azerbaijan
Silver Medal;2;2024-07-29;France;M;Archery;ARC;Men's Team;https://olympics.com/en/paris-2024/results/archery/men-s-team/fnl-000100--;FRA;France
Bronze Medal;3;2024-07-28;Mexico;W;Archery;ARC;Women's Team;https://olympics.com/en/paris-2024/results/archery/women-s-team/fnl-000200--;MEX;Mexico
Bronze Medal;3;2024-02-08;United States;X;Archery;ARC;Mixed Team;https://olympics.com/en/paris-2024/results/archery/mixed-team/fnl-000200--;USA;United States
Silver Medal;2;2024-09-08;South Africa;M;Athletics;ATH;Men's 4 x 100m Relay;https://olympics.com/en/paris-2024/results/athletics/men-s-4-x-100m-relay/fnl-000100--;RSA;South Africa
Silver Medal;2;2024-10-08;Netherlands;W;Athletics;ATH;Women's 4 x 400m Relay;https://olympics.com/en/paris-2024/results/athletics/women-s-4-x-400m-relay/fnl-000100--;NED;Netherlands
Silver Medal;2;2024-07-08;PINTADO B/MOREJON G;X;Athletics;ATH;Marathon Race Walk Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--;ECU;Ecuador
Gold Medal;1;2024-07-08;MARTIN A/PEREZ M;X;Athletics;ATH;Marathon Race Walk Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/marathon-race-walk-relay-mixed/fnl-000100--;ESP;Spain
Gold Medal;1;2024-03-08;Netherlands;X;Athletics;ATH;4 x 400m Relay Mixed;https://olympics.com/en/paris-2024/results/athletics/4-x-400m-relay-mixed/fnl-000100--;NED;Netherlands
Bronze Medal;3;2024-02-08;WATANABE/HIGASHINO;X;Badminton;BDM;Mixed Doubles;https://olympics.com/en/paris-2024/results/badminton/mixed-doubles/fnl-000200--;JPN;Japan
Bronze Medal;3;2024-05-08;Lithuania;M;3x3 Basketball;BK3;Men;https://olympics.com/en/paris-2024/results/3x3-basketball/men/fnl-000200--;LTU;Lithuania
Gold Medal;1;2024-05-08;Germany;W;3x3 Basketball;BK3;Women;https://olympics.com/en/paris-2024/results/3x3-basketball/women/fnl-000100--;GER;Germany
Gold Medal;1;2024-10-08;United States;M;Basketball;BKB;Men;https://olympics.com/en/paris-2024/results/basketball/men/fnl-000100--;USA;United States
Silver Medal;2;2024-08-08;Australia;M;Canoe Sprint;CSP;Men's Kayak Four 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/men-s-kayak-four-500m/fnl---------;AUS;Australia
Gold Medal;1;2024-09-08;CARRINGTON/HOSKIN;W;Canoe Sprint;CSP;Women's Kayak Double 500m;https://olympics.com/en/paris-2024/results/canoe-sprint/women-s-kayak-double-500m/fnl---------;NZL;New Zealand
Silver Medal;2;2024-10-08;Italy;M;Cycling Track;CTR;Men's Madison;https://olympics.com/en/paris-2024/results/cycling-track/men-s-madison/fnl-000100--;ITA;Italy
Silver Medal;2;2024-06-08;Great Britain;M;Cycling Track;CTR;Men's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/men-s-team-sprint/fnl---------;GBR;Great Britain
Silver Medal;2;2024-05-08;New Zealand;W;Cycling Track;CTR;Women's Team Sprint;https://olympics.com/en/paris-2024/results/cycling-track/women-s-team-sprint/fnl---------;NZL;New Zealand
Gold Medal;1;2024-07-29;China;M;Diving;DIV;Men's Synchronised 10m Platform;https://olympics.com/en/paris-2024/results/diving/men-s-synchronised-10m-platform/fnl-000100--;CHN;China
Silver Medal;2;2024-07-27;United States;W;Diving;DIV;Women's Synchronised 3m Springboard;https://olympics.com/en/paris-2024/results/diving/women-s-synchronised-3m-springboard/fnl-000100--;USA;United States
Bronze Medal;3;2024-03-08;Great Britain;O;Equestrian;EQD;Dressage Team;https://olympics.com/en/paris-2024/results/equestrian/dressage-team/gpsp000100--;GBR;Great Britain
Silver Medal;2;2024-09-08;France;M;Football;FBL;Men;https://olympics.com/en/paris-2024/results/football/men/fnl-000100--;FRA;France
Bronze Medal;3;2024-09-08;Germany;W;Football;FBL;Women;https://olympics.com/en/paris-2024/results/football/women/fnl-000200--;GER;Germany
Silver Medal;2;2024-01-08;Italy;W;Fencing;FEN;Women's Foil Team;https://olympics.com/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--;ITA;Italy
Gold Medal;1;2024-01-08;United States;W;Fencing;FEN;Women's Foil Team;https://olympics.com/en/paris-2024/results/fencing/women-s-foil-team/fnl-000100--;USA;United States
Bronze Medal;3;2024-03-08;Japan;W;Fencing;FEN;Women's Sabre Team;https://olympics.com/en/paris-2024/results/fencing/women-s-sabre-team/fnl-000200--;JPN;Japan
Silver Medal;2;2024-07-29;China;M;Artistic Gymnastics;GAR;Men's Team;https://olympics.com/en/paris-2024/results/artistic-gymnastics/men-s-team/fnl-000001--;CHN;China
Gold Medal;1;2024-10-08;People's Republic of China;W;Rhythmic Gymnastics;GRY;Group All-Around;;CHN;China
Silver Medal;2;2024-10-08;Israel;W;Rhythmic Gymnastics;GRY;Group All-Around;;ISR;Israel
Silver Medal;2;2024-11-08;Germany;M;Handball;HBL;Men;https://olympics.com/en/paris-2024/results/handball/men/fnl-000100--;GER;Germany
Gold Medal;1;2024-10-08;Norway;W;Handball;HBL;Women;https://olympics.com/en/paris-2024/results/handball/women/fnl-000100--;NOR;Norway
Bronze Medal;3;2024-03-08;Korea;X;Judo;JUD;Mixed Team;https://olympics.com/en/paris-2024/results/judo/mixed-team/repf00020000;KOR;Korea
Bronze Medal;3;2024-03-08;United States;M;Rowing;ROW;Men's Eight;https://olympics.com/en/paris-2024/results/rowing/men-s-eight/fnl---------;USA;United States
Silver Medal;2;2024-01-08;New Zealand;M;Rowing;ROW;Men's Four;https://olympics.com/en/paris-2024/results/rowing/men-s-four/fnl---------;NZL;New Zealand
Bronze Medal;3;2024-02-08;Greece;M;Rowing;ROW;Lightweight Men's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;GRE;Greece
Silver Medal;2;2024-02-08;Italy;M;Rowing;ROW;Lightweight Men's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/lightweight-men-s-double-sculls/fnl---------;ITA;Italy
Silver Medal;2;2024-01-08;Netherlands;M;Rowing;ROW;Men's Double Sculls;https://olympics.com/en/paris-2024/results/rowing/men-s-double-sculls/fnl---------;NED;Netherlands
Silver Medal;2;2024-02-08;Romania;W;Rowing;ROW;Women's Pair;https://olympics.com/en/paris-2024/results/rowing/women-s-pair/fnl---------;ROU;Romania
Gold Medal;1;2024-07-27;France;M;Rugby Sevens;RU7;Men;https://olympics.com/en/paris-2024/results/rugby-sevens/men/fnl-000100--;FRA;France
Bronze Medal;3;2024-07-30;United States;W;Rugby Sevens;RU7;Women;https://olympics.com/en/paris-2024/results/rugby-sevens/women/fnl-000200--;USA;United States
Silver Medal;2;2024-02-08;BOBECK/NETZLER;W;Sailing;SAL;Women's Skiff;https://olympics.com/en/paris-2024/results/sailing/women-s-skiff/fnl-000100--;SWE;Sweden
Bronze Medal;3;2024-08-08;DAHLBERG/KARLSSON;X;Sailing;SAL;Mixed Dinghy;https://olympics.com/en/paris-2024/results/sailing/mixed-dinghy/fnl-000100--;SWE;Sweden
Gold Medal;1;2024-07-30;Serbia;X;Shooting;SHO;10m Air Pistol Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-pistol-mixed-team/fnl-000100--;SRB;Serbia
Gold Medal;1;2024-07-27;China 1;X;Shooting;SHO;10m Air Rifle Mixed Team;https://olympics.com/en/paris-2024/results/shooting/10m-air-rifle-mixed-team/fnl-000100--;CHN;China
